lr,loss_train,accuracy_validation
2e-05,6.60763692855835,33.36
2e-05,6.329025745391846,33.36
2e-05,6.152545928955078,33.36
2e-05,5.707126140594482,33.36
2e-05,5.809393405914307,33.36
2e-05,6.251948356628418,33.36
2e-05,5.9902472496032715,33.36
2e-05,5.944886207580566,33.36
2e-05,5.878224849700928,33.36
2e-05,5.776872634887695,33.36
2e-05,5.838883876800537,33.36
2e-05,5.681249618530273,33.36
2e-05,5.947604656219482,33.36
2e-05,6.318511486053467,33.36
2e-05,4.796459197998047,33.36
2e-05,6.005399703979492,33.36
2e-05,6.087674140930176,33.36
2e-05,4.697342872619629,33.36
2e-05,5.670788288116455,33.36
2e-05,4.766844749450684,33.36
2e-05,4.9651336669921875,33.36
2e-05,5.478708744049072,33.36
2e-05,4.799368381500244,33.36
2e-05,5.485469341278076,33.36
2e-05,5.293361663818359,33.36
2e-05,4.850618362426758,33.36
2e-05,4.811295509338379,33.36
2e-05,4.72077751159668,33.36
2e-05,4.532373428344727,33.36
2e-05,4.630070209503174,33.36
2e-05,4.4350714683532715,33.36
2e-05,4.217057228088379,33.36
2e-05,4.068391799926758,33.36
2e-05,5.328822612762451,33.36
2e-05,5.071247100830078,33.36
2e-05,4.781514644622803,33.36
2e-05,4.387943744659424,33.36
2e-05,4.097894191741943,33.36
2e-05,4.273960590362549,33.36
2e-05,4.521628379821777,33.36
2e-05,4.268980503082275,33.36
2e-05,4.812779426574707,33.36
2e-05,3.9160759449005127,33.36
2e-05,4.556326389312744,33.36
2e-05,4.622392654418945,33.36
2e-05,4.719124794006348,33.36
2e-05,4.393408298492432,33.36
2e-05,4.401395797729492,33.36
2e-05,4.276796817779541,33.36
2e-05,4.039734840393066,33.36
2e-05,4.53185510635376,33.36
2e-05,4.386810779571533,33.36
2e-05,4.497210502624512,33.36
2e-05,4.4407057762146,33.36
2e-05,4.192923545837402,33.36
2e-05,3.8679144382476807,33.36
2e-05,4.273184776306152,33.36
2e-05,4.341770648956299,33.36
2e-05,4.12235689163208,33.36
2e-05,4.097436428070068,33.36
2e-05,4.126126289367676,33.36
2e-05,4.130568504333496,33.36
2e-05,4.054056644439697,33.36
2e-05,3.7562153339385986,33.36
2e-05,4.292065620422363,33.36
2e-05,3.3978500366210938,33.36
2e-05,3.9547815322875977,33.36
2e-05,4.271210670471191,33.36
2e-05,3.963395118713379,33.36
2e-05,4.049880027770996,33.36
2e-05,3.676893711090088,33.36
2e-05,3.604809284210205,33.36
2e-05,4.000115871429443,33.36
2e-05,3.751220703125,33.36
2e-05,4.309296607971191,33.36
2e-05,4.660115718841553,33.36
2e-05,3.7827556133270264,33.36
2e-05,3.9046008586883545,33.36
2e-05,3.8551151752471924,33.36
2e-05,3.6025335788726807,33.36
2e-05,3.781047821044922,33.36
2e-05,3.6223433017730713,33.36
2e-05,3.3816776275634766,33.36
2e-05,3.5293984413146973,33.36
2e-05,3.4031238555908203,33.36
2e-05,3.381352424621582,33.36
2e-05,3.7554030418395996,33.36
2e-05,3.5768749713897705,33.36
2e-05,3.31630539894104,33.36
2e-05,3.646937847137451,33.36
2e-05,3.9538705348968506,33.36
2e-05,3.9974632263183594,33.36
2e-05,3.639430284500122,33.36
2e-05,3.4770777225494385,33.36
